ReviewTitle,ReviewBody,ReviewStar,Product,Dominant_topic,Percent,Processed_text,Keywords
Running has become comfortable now,the sound quality good i mean can’t compared senheiser bose worth priceperfect use running earbuds comfortable wouldn’t even feel plugged,4,boAt Rockerz 255,1,0.5,"['quality', 'mean', 'senheiser', 'priceperfect', 'use', 'earbud']",bass cancellation clarity earphone headphone music noise quality sound voice
Disappointed,what earth use buying product stop working one monthyour happiness sailed like boat disappointed,1,boAt Rockerz 255,0,0.831,"['earth', 'product', 'happiness', 'boat']",battery call day hour life money music product quality use
Extremely good BT earphones!! Loud and Super BASS.,hey i used quite budget earphones senn 180213soundmagic e18s 1more piston jbl t160 c150si boat rockerz 225 compared boat rockers 255 earphones additionally i philips basic sony jbl headphone i bought use friends relatives none compare loudness bass overall effect bt earphones im obviously audiophile i know difference good sound noise the concern i found wires hang lil low highs could sharpernitpicking cant fault otherwise i it paired rn5 pro,5,boAt Rockerz 255,1,0.421,"['budget', 'earphone', 'senn', 'piston', 'jbl', 't160', 'boat', 'boat', 'earphone', 'use', 'friend', 'relative', 'none', 'loudness', 'bass', 'effect', 'earphone', 'difference', 'sound', 'noise', 'concern', 'wire', 'lil', 'high', 'rn5']",bass cancellation clarity earphone headphone music noise quality sound voice
Product not good quality,product stopped working month time,1,boAt Rockerz 255,3,0.503,"['product', 'month', 'time']",device ear issue month phone product service time warranty year
Not at all expected this on 0th Day of purchase,right speaker working useless productbig disappointment,1,boAt Rockerz 255,0,0.444,"['speaker', 'disappointment']",battery call day hour life money music product quality use
Good Earphones with good sound quality and build quality,received boat 255 earphones yesterday eveningsound quality perfect good combination bass treble can feel every beatconnectivity quick detects connects easilybattery life good stayed around 1011 hrsas received yesterday evening have playing since so first day review but performance goodearphones looks solid build quality good the magnates really helpful hold earphones earphones looks greatearphone wire could bit long but thats fine not sure othersdidnt get chance charge sure time full chargeone thing observed 10 hours play time music stopped playing middle not sure gets disconnected technical problembut overall performance nice good experience,3,boAt Rockerz 255,0,0.521,"['boat', 'earphone', 'yesterday', 'quality', 'combination', 'bass', 'beatconnectivity', 'detect', 'easilybattery', 'life', 'hrsa', 'yesterday', 'evening', 'day', 'review', 'performance', 'goodearphone', 'build', 'quality', 'magnate', 'hold', 'earphone', 'earphone', 'wire', 'othersdidnt', 'chance', 'charge', 'time', 'thing', 'hour', 'time', 'music', 'problembut', 'performance', 'experience']",battery call day hour life money music product quality use
Good Sound bad designed,this sound bass quality good battery life good noise cancelling good wire long uncomfortable looking good wire starting top looking bad anyway everything ok,4,boAt Rockerz 255,1,0.354,"['bass', 'quality', 'battery', 'life', 'noise', 'wire', 'wire']",bass cancellation clarity earphone headphone music noise quality sound voice
Good product with decent pros,the product good buy looking decent bluetooth earphones reputed brandsound quality 45 pretty good good amount bassdurability 45 material seems durable earphones light weightbattery life 355 it decent battery life upto 56 hours playtime 80 volumeconnectivity 355 gets connected seconds sometimes gets disconnected within small rangecall quality 35 call quality decent person end call clearly however need place mic exactly near mouth sometimes call gets distorted,3,boAt Rockerz 255,0,0.59,"['product', 'earphone', 'quality', 'amount', 'bassdurability', 'material', 'earphone', 'light', 'weightbattery', 'life', 'battery', 'life', 'hour', 'playtime', 'volumeconnectivity', 'second', 'rangecall', 'quality', 'call', 'quality', 'person', 'end', 'call', 'place', 'mouth']",battery call day hour life money music product quality use
"Below average product, don’t buy",below average product not happy allpros good sound qualitycons uncomfortable silicon buds soft bought memory foam bud pair use itbattery life ok once give low battery alarm dies within 2 minlittle heavy earsno return possible,1,boAt Rockerz 255,0,0.544,"['product', 'allpro', 'sound', 'qualitycon', 'silicon', 'bud', 'memory', 'itbattery', 'life', 'battery', 'alarm', 'return']",battery call day hour life money music product quality use
Overall good but not that worth,problem earpieces metal heavier normal wired earpiece and makes u feel uncomfortable u start feel heavier ur ears earbuds sleepery heavy earpiece sleepery earbuds make u irritate and seems like boat focussed bass earphones note words bass much bass long time surely give u headache i bought 999 dont think worth my senhessier cx wired earphones way much better way much so u want buy buy sake wireless feature sound build quality,3,boAt Rockerz 255,2,0.4,"['problem', 'earpiece', 'metal', 'earpiece', 'start', 'ur', 'ear', 'sleepery', 'earpiece', 'sleepery', 'earbud', 'irritate', 'boat', 'bass', 'earphone', 'word', 'bass', 'time', 'headache', 'cx', 'earphone', 'way', 'buy', 'sake', 'feature', 'sound', 'build', 'quality']",base bass brand durability earphone jbl price quality range sound
Budget friendly,the product great intially but real test 2 months useso reviewing product two months usepros1 the earphones drives rich sound quality inspite wireless2 the neck band makes much durable earphones3 the flat wire durable magnets saves loosing it4 the 45 degree tilted earbuds fits right ears check 45 degree tilted earphones day weather comfortable 5 it comes 2 pairs extra buds small big medium one already itcons1 the connectivity dual phones easy shownconnect earphone phone a usualdisconnect phone a switching bluetooth phone anow connect earphone phone bswitch earphone switch backopen bluetooth settings phone a bfrom paired device list select boat rockers 255 device timeon earphones get hear you are now connected to boat rockerz 255 twice 2 you get cracking sound ideal dial number dial pad3 battery life accuratesometimes work hours 4060 battery sometime dead 80so dont rely battery indicator battery charged 23 hours works constantly 56 hours normal volumei hope help mark helpful sooverall go get exciting deal product,4,boAt Rockerz 255,0,0.383,"['product', 'test', 'month', 'useso', 'product', 'month', 'earphone', 'quality', 'inspite', 'wireless2', 'neck', 'band', 'earphones3', 'wire', 'magnet', 'degree', 'earbud', 'ear', 'degree', 'earphone', 'day', 'weather', 'bud', 'medium', 'one', 'connectivity', 'phone', 'earphone', 'phone', 'phone', 'phone', 'anow', 'earphone', 'phone', 'switch', 'setting', 'phone', 'bfrom', 'device', 'list', 'boat', 'rocker', 'device', 'timeon', 'earphone', 'boat', 'dial', 'number', 'dial', 'pad3', 'battery', 'life', 'accuratesometime', 'hour', 'battery', '80so', 'battery', 'indicator', 'battery', 'hour', 'hour', 'hope', 'help', 'sooverall', 'deal', 'product']",battery call day hour life money music product quality use
Just received the product and one side of the earphone is not working,dont guys check product selling received product one side earphone working,5,boAt Rockerz 255,0,0.473,"['guy', 'product', 'selling', 'product', 'side', 'earphone']",battery call day hour life money music product quality use
Satisfied totally,got today really loved product awesome sound thinking buy airpod friend suggested why spend much so ordered really amazing looks good great sound doesnt hurt ua ears i totally satisfied couldnt say battery got today,5,boAt Rockerz 255,0,0.684,"['today', 'product', 'sound', 'thinking', 'friend', 'look', 'sound', 'ear', 'battery', 'today']",battery call day hour life money music product quality use
Don't buy,rightside speaker stop working within 20 days,1,boAt Rockerz 255,0,0.582,"['rightside', 'speaker', 'day']",battery call day hour life money music product quality use
Unable to connect two devices simultaneously,overall goodbut i unable connect two devices simultaneously please guide thatthank,4,boAt Rockerz 255,3,0.571,"['device', 'thatthank']",device ear issue month phone product service time warranty year
Read carefully!!!,i brought last week frankits really awesome beyond expectationssound quality like personal home theatretoo clear loud enough listen every single bit musicand coming battery backup said 6hrs working near one morei saygo,5,boAt Rockerz 255,0,0.904,"['week', 'expectationssound', 'quality', 'home', 'bit', 'musicand', 'battery', 'backup', 'morei', 'saygo']",battery call day hour life money music product quality use
Defective product,defective product not working return defective product,1,boAt Rockerz 255,0,0.777,"['product', 'product']",battery call day hour life money music product quality use
Dont buy it.,although sound quality good whats purpose buying wireless earphone controls buttons doesnt work i bought product withing week controls stop responding cant switch anythingreplaced got refund bought another piece different color worn dayboth time seller appario retail private ltd so leave wisdom whether want buy i never buy brand least platform,1,boAt Rockerz 255,3,0.374,"['quality', 'purpose', 'earphone', 'control', 'button', 'product', 'week', 'control', 'refund', 'piece', 'color', 'dayboth', 'time', 'seller', 'wisdom', 'brand', 'platform']",device ear issue month phone product service time warranty year
Really boat beating all others in the price range of 5 or 6k,i prime customer amazon i always purchase product much research bought boat rokerz sale 1099 trust i blown away i used sony headphones price range 5 6k similar price range sound quality 1010 battery life seems good tested described update soon durability 1010 perfect fit pain discomfort really boat done fantastic job amazing music quality superb bass highs mids lows just go,5,boAt Rockerz 255,2,0.495,"['customer', 'amazon', 'product', 'research', 'boat', 'rokerz', 'sale', 'trust', 'headphone', 'price', 'range', 'price', 'range', 'sound', 'quality', 'battery', 'life', 'update', 'durability', 'pain', 'discomfort', 'boat', 'job', 'music', 'quality', 'superb', 'bass', 'high', 'low']",base bass brand durability earphone jbl price quality range sound
Not so good,battery faulty,1,boAt Rockerz 255,0,0.666,['battery'],battery call day hour life money music product quality use
Really Cheep Quality,boat blue tooth 255 ye doubt voice quality amazing 30 days big fan boat 30days voice side going even 35 days able hear anything one sideboat service pathetic raise complaint almost 10days back replacement rapair 10days reaches rapir center sure many days boat take repair big suggestion do not buy this,2,boAt Rockerz 255,3,0.463,"['tooth', 'doubt', 'voice', 'quality', 'day', 'fan', 'boat', 'voice', 'side', 'day', 'sideboat', 'service', 'raise', 'complaint', 'replacement', 'rapair', 'rapir', 'day', 'boat', 'repair', 'suggestion']",device ear issue month phone product service time warranty year
Awesome bass and battery life,awesome bass this even low volume so bass thing earphones really like sound there could clarity nonetheless goodgreat battery life well lasts 56 hoursthe grouse comfortable i changed plugs smallest ears still hurt maybe takes getting used tospent 999 great indian sale definitely worth,5,boAt Rockerz 255,1,0.374,"['bass', 'volume', 'bass', 'thing', 'earphone', 'sound', 'clarity', 'battery', 'life', 'grouse', 'plug', 'ear', 'tospent', 'sale']",bass cancellation clarity earphone headphone music noise quality sound voice
Review update - Product failed after a few months,update sadly second boat product conk months use i guess end journey i boat audio buying products brand changed rating reflect samei market cheap pair bluetooth earphones i chanced upon lightning deal bought i used boat products good build quality sound alright i’m writing month enough time lived get know quirks problems• the sound nothing great it’s bit bassy side if you’re bass lover definitely good buy• connectivity quick painless – works without hassle every time the quality connectivity depends sometimes weird i put phone charge use distance 3 meters worries but sometimes i’m walking really fast jogging breaks crackles audio not sure it’s material gym wear works well phone’s jeans• battery life nothing write home – i listen music constantly even i’m work my demands probably high price range• it sweatproof advertised no interruptions light drizzle• it’s got great build quality price – looks feels premium doesn’t tangle all• it stays ear regardless intensity exercise greaton whole great buy looking cheaper alternative wait sale get thoughlike reviews please click helpful button it encourages share products i use thanks,1,boAt Rockerz 255,2,0.326,"['boat', 'product', 'month', 'guess', 'boat', 'audio', 'buying', 'product', 'brand', 'rating', 'market', 'pair', 'earphone', 'lightning', 'deal', 'boat', 'product', 'build', 'quality', 'sound', 'month', 'time', 'quirk', 'problem', 'side', 'bass', 'connectivity', 'painless', 'hassle', 'time', 'quality', 'connectivity', 'phone', 'charge', 'use', 'distance', 'meter', 'worry', 'jogging', 'crackle', 'audio', 'material', 'gym', 'wear', 'phone', 'jean', 'battery', 'life', 'home', 'listen', 'music', 'demand', 'price', 'range', 'interruption', 'drizzle', 'build', 'quality', 'price', 'look', 'premium', 'tangle', 'ear', 'intensity', 'buy', 'wait', 'sale', 'review', 'button', 'share', 'product', 'thank']",base bass brand durability earphone jbl price quality range sound
Ok quality,the headphones good beginning week getting disturbance left side earpiece stays sometime,1,boAt Rockerz 255,4,0.501,"['headphone', 'beginning', 'week', 'disturbance', 'side', 'earpiece']",button cable earphone month side speaker use volume wire work
Good sound quality,audio quality pretty good way speaks bye amigos turning also uniqueits durable designed rightit mic opening towards engraved rest headphone completely coveredwhich makes water resistant i guessonly things looks weird leav hanging around neck unlike bluetooth headphones hard collar kind thing wire stretching as hangs low neck hard collar kind ones look like small neck accessory left hangingeither way i liked product job battery back also really good,4,boAt Rockerz 255,0,0.571,"['quality', 'way', 'amigo', 'uniqueit', 'rightit', 'opening', 'rest', 'headphone', 'coveredwhich', 'water', 'thing', 'leav', 'neck', 'headphone', 'collar', 'kind', 'thing', 'wire', 'neck', 'collar', 'kind', 'one', 'neck', 'accessory', 'way', 'product', 'job', 'battery']",battery call day hour life money music product quality use
Amazing product. Just go for it.,close eyes go it amazing price i got festival sale costs 999 rupees there everything perfect bluetooth earphones the bass amazing even sony jbl bt earphones the sound crystal clear mic quality decent battery life 67 hours playback noise cancellation pretty enough i impressed earphones and last earphones stereo supported enjoy 360 songs also play pubg bluetooth earphones really love boat,5,boAt Rockerz 255,1,0.379,"['eye', 'price', 'festival', 'sale', 'rupee', 'earphone', 'bass', 'crystal', 'quality', 'battery', 'life', 'hour', 'noise', 'cancellation', 'earphone', 'earphone', 'stereo', 'song', 'earphone', 'boat']",bass cancellation clarity earphone headphone music noise quality sound voice
Frequent failures.,the item rendered defective three times less two months usage the first two times due charging issue third time due sound distortion being warranty item repaired first two times i registered compliant third failure the product spent time service centre i used am completely dissatisfied reliability product,1,boAt Rockerz 255,3,0.651,"['item', 'time', 'month', 'time', 'issue', 'time', 'distortion', 'warranty', 'item', 'time', 'failure', 'product', 'time', 'service', 'centre', 'reliability', 'product']",device ear issue month phone product service time warranty year
Puchase it for sub 1000 price during offers otherwise it will be too expensive for its quality.,purchased 999 and price justifies quality music purposes lags bass still justified price basic functions dont work desired like overriding use buttons the startup shutting voice annoying could kept subtleand also battery drains quickly the microphone worst the person end wont able hear clearly the built quality cheap dont expect durable long keep safealso i used running audio started interrupt regularly annoying i abstain using morning jog after experience giving 2 stars,2,boAt Rockerz 255,0,0.519,"['price', 'justifie', 'quality', 'music', 'purpose', 'lag', 'bass', 'price', 'function', 'use', 'startup', 'voice', 'annoying', 'subtleand', 'battery', 'drain', 'microphone', 'person', 'end', 'quality', 'keep', 'audio', 'abstain', 'morning', 'jog', 'experience', 'star']",battery call day hour life money music product quality use
Average product,the reason average product pros excellent cons also work itprosgood noise cancellationexcellent sound qualityrange badgood battery lifeconsthe soft earbuds small hole wear helmet slight change angle earpiece unable hear anything earpiece unless correct angledurability the left earpiece headphones stopped working within 2 months use the company repaired gave back time taken long also left earpiece projects lower sound right oneit inform bluetooth gets disconnected going rangebecomes useless battery reaches 20 it keeps informing oops battery low every minute next 10 minutes switches,3,boAt Rockerz 255,4,0.307,"['reason', 'product', 'con', 'itprosgood', 'noise', 'cancellationexcellent', 'sound', 'qualityrange', 'battery', 'earbud', 'hole', 'helmet', 'change', 'angle', 'earpiece', 'angledurability', 'earpiece', 'headphone', 'month', 'company', 'time', 'earpiece', 'project', 'sound', 'inform', 'rangebecome', 'battery', 'oop', 'battery', 'minute', 'minute', 'switch']",button cable earphone month side speaker use volume wire work
"Great earphones fir bass, MIC has no noise cancellation",its grear earphones i sceptical bought 1499 price less wireless ear phones bass point battery life approx 89 hours you hardly feel ears mic picks noise thats one minus still hear sound mic sensitive speak almost still person get,5,boAt Rockerz 255,0,0.474,"['earphone', 'price', 'ear', 'phone', 'point', 'battery', 'life', 'approx', 'hour', 'ear', 'pick', 'noise', 'minus', 'speak', 'person']",battery call day hour life money music product quality use
No Second Thought.....Just Go for It.........,i got product 031218 0445 pm immediately opened package see condition however came well packed box top amazons insulated cover invoice opened headphone put charging laptop minutes started using itpros1 connecting new oneplust 6t within time giving sound bold voice stating you connected boat rocerz 2552 base really awesome able hear vocals properly well mounted ear tips helps use headphone longer time3 call quality fine noise cancellation ok4 music good listen drivingcons1 multifunctional compatible phone assumption i could able got next song previous song2 noise cancellation much awesome yeah able listen voice properly side3 if give pause 5 minutes song listening go back phone replay againoverall satisfactory deal worth every rupee spend as second product boat i strongly recommend,4,boAt Rockerz 255,1,0.377,"['product', 'package', 'condition', 'box', 'amazon', 'invoice', 'headphone', 'laptop', 'minute', 'itpros1', 'oneplust', 'time', 'voice', 'boat', 'base', 'vocal', 'ear', 'tip', 'headphone', 'time3', 'quality', 'noise', 'cancellation', 'ok4', 'music', 'phone', 'assumption', 'song', 'song2', 'noise', 'cancellation', 'voice', 'song', 'listening', 'phone', 'replay', 'deal', 'rupee', 'spend', 'product', 'boat']",bass cancellation clarity earphone headphone music noise quality sound voice
SUPERB,sound quality good noise cancellation upto mark battery quality decent charging enjoy upto 5hrs music without issue,4,boAt Rockerz 255,1,0.363,"['quality', 'noise', 'cancellation', 'upto', 'battery', 'quality', 'charging', 'music', 'issue']",bass cancellation clarity earphone headphone music noise quality sound voice
Just go for it,awesome best budget wireless earphones,5,boAt Rockerz 255,1,0.728,"['budget', 'earphone']",bass cancellation clarity earphone headphone music noise quality sound voice
Good bluetooth headset if its under 1K.,product design good durable the best feature sound quality design however didnt liked battery backup its hardly 3 4 hrs continuously powered requires charged atleast 2x day overall i would say good deal 1k max 12k inr otherwise i wont recommend,5,boAt Rockerz 255,0,0.811,"['product', 'design', 'feature', 'sound', 'quality', 'design', 'battery', 'backup', 'hrs', 'atleast', 'day', 'deal']",battery call day hour life money music product quality use
A good multipoint option for Rs. 999,got rs 999 a great deal pricebought socially multipoint featuresworks great 2 mobiles i found keeps running connecting issues windows 10 laptop it may take connect back windows 10 laptopbattery okay cant take whole daydont expect noise cancellation sound great you enjoy bass another little annoying thing apart connecting windows laptop crackling sound i hear sometime reason even close proximity streaming device,3,boAt Rockerz 255,3,0.446,"['deal', 'multipoint', 'featureswork', 'mobile', 'issue', 'laptop', 'laptopbattery', 'daydont', 'noise', 'cancellation', 'bass', 'thing', 'window', 'laptop', 'crackling', 'sound', 'reason', 'proximity', 'streaming', 'device']",device ear issue month phone product service time warranty year
"Too good in this price... Am so happy,",product perfect purchase charging requested replacementreplacement quick prominent thank you boat teampros•soft feeling wearing boat rockerze look also good•the sound quality excellent like premium brands•i using receiving product without charging going the battery lasts full 2days am happy•value moneyconsnot find still,5,boAt Rockerz 255,0,0.531,"['product', 'purchase', 'replacementreplacement', 'boat', 'teampro', 'feeling', 'boat', 'rockerze', 'look', 'quality', 'premium', 'brand', 'product', 'battery', 'value', 'moneyconsnot']",battery call day hour life money music product quality use
Detailed Review,proscharge time 2 hrs backup good full day use 6 hr continuoustwo led colors red blue using blue light blinks every secsinbuild ringtone trrrin trrrin typeusing honor 6x show battery icon 1008050250 stagesgives warning low battery connected disconnected human voicelightwightgood build qualityi replaced rubber earplugs piston earphone plugs 3 pairs comes package soft fineyou control volume pc mobile depends device currently playingi using piston onemore music quality level pretty decent bass balancedconsrange 10m real world plays well u room moment walk room distortion occursmic sensitive works fine far complains end used outside roomwhen keep charging gets switch reconnect big issue first doubt batterysound qualitymic quality using happy even though used one boat 255mi earphone 399 samsung earphone phillips 249 etc,4,boAt Rockerz 255,0,0.449,"['time', 'backup', 'day', 'use', 'hr', 'continuoustwo', 'color', 'light', 'secsinbuild', 'trrrin', 'honor', 'battery', 'icon', 'stagesgive', 'battery', 'voicelightwightgood', 'build', 'qualityi', 'rubber', 'earplug', 'pair', 'package', 'fineyou', 'control', 'volume', 'pc', 'mobile', 'device', 'playingi', 'piston', 'onemore', 'music', 'quality', 'level', 'bass', 'balancedconsrange', 'world', 'room', 'moment', 'walk', 'room', 'distortion', 'work', 'end', 'roomwhen', 'keep', 'charging', 'switch', 'issue', 'quality', 'boat', '255mi']",battery call day hour life money music product quality use
Not a great product but great for price.,i got inr999 thats reason giving 4star rating for casual listeners decent sound i found clear comparable hires earphones ofcourse it good amount bass deep bass instead muddy bass else expect price but good casual music found little weird watching movies connectivity ok not great cause youll put phone behind body like case u keep ur phone back pockets connection gets lost moreover since bluetooth 41 even range around 10m less build quality seems good time tell i another boat product called boat rockerz 600 flagship product good product i year still running strong though dont use daily driver only problem earpads really bad shape similar hopes product and confused similarly priced earphones like boult tagg dont bother chinese earphones rebranded marketed boat tagg etc so believe sound similar and mrp written basically maketing gimmick theres way kinda earphones could cost inr1500and audiophiles well one wont looking anyway so thats happy shopping,4,boAt Rockerz 255,0,0.25,"['reason', 'rating', 'listener', 'sound', 'hire', 'earphone', 'amount', 'bass', 'bass', 'bass', 'price', 'music', 'movie', 'connectivity', 'phone', 'body', 'case', 'ur', 'phone', 'pocket', 'connection', 'quality', 'time', 'boat', 'product', 'boat', 'flagship', 'product', 'product', 'year', 'driver', 'problem', 'earpad', 'shape', 'hope', 'product', 'earphone', 'boult', 'tagg', 'earphone', 'boat', 'tagg', 'mrp', 'gimmick', 'way', 'earphone', 'audiophile', 'shopping']",battery call day hour life money music product quality use
Quality of the sound is really awesome. But the company also must look at it's build quality.,nice product i love sound bass i purchased another two family members i make sure sound quality but one thing i really concerned build quality mine replaced two times till power button issue it take 20 days replace product first time 20 days purchaseing three months now clame new replacement good one lets see many days goes,4,boAt Rockerz 255,0,0.438,"['product', 'love', 'sound', 'bass', 'family', 'member', 'quality', 'thing', 'build', 'quality', 'mine', 'time', 'power', 'button', 'issue', 'day', 'product', 'time', 'day', 'month', 'replacement', 'let', 'day']",battery call day hour life money music product quality use
"Worth the price , best quality, IPx5 instead of IPx4",well used boat products good beforepros base good water resistant doscription says ipx4 earphone box says ipx5 even better update product description magnet lock design con cable bit long as control box side little hard cable back remaining cable shouldnt longabove good product recommend people wants buy cheap best wireless earphone,4,boAt Rockerz 255,0,0.468,"['boat', 'product', 'beforepro', 'water', 'doscription', 'product', 'description', 'magnet', 'lock', 'cable', 'bit', 'control', 'box', 'side', 'cable', 'cable', 'product', 'people', 'earphone']",battery call day hour life money music product quality use
Disappointed,totally disappointed product returned boat rockerz 225 better,1,boAt Rockerz 255,0,0.774,"['product', 'boat']",battery call day hour life money music product quality use
Poor Battery and Connectivity,i pleased write review talk pros conspros1 good bass2 sturdy3 great look4 good noise cancellationcons1 forget buying planning use gaming like battle royale games there issue latency bluetooth lag you hear noise 3 seconds fire gun2 disspointed battery backup max 1 15 hours continously use low volume3 wrong place charging port installed difficult plugin plug,1,boAt Rockerz 255,0,0.515,"['write', 'review', 'talk', 'pro', 'bass2', 'noise', 'cancellationcons1', 'planning', 'use', 'gaming', 'battle', 'royale', 'game', 'issue', 'latency', 'lag', 'noise', 'second', 'fire', 'battery', 'hour', 'volume3', 'place', 'port', 'plugin', 'plug']",battery call day hour life money music product quality use
Best quality for the price,really like base sound quality price its good listen music i bose 300 qc im using day day basis carrying qc wherever i go practical i going headphone quite enough music need the microphone working expectedthe issue headphone doesnt announce battery percentage however oneplus 6t shows headphone battery connected the headphone give annoying message battery low 20 onwards,5,boAt Rockerz 255,0,0.424,"['base', 'sound', 'quality', 'price', 'listen', 'music', 'qc', 'day', 'day', 'basis', 'headphone', 'music', 'microphone', 'expectedthe', 'issue', 'headphone', 'battery', 'percentage', 'oneplus', 'headphone', 'battery', 'headphone', 'message', 'battery']",battery call day hour life money music product quality use
Not the worth,i brought piece reading lot reviews etc purchased started using turned said battery low thats fine initial product charged battery full started using it started reconnecting time sound started disappearing i checking range manual said 10m saw placed mobile shirts pocket perfect working moved pants pocket disconnected reconnected kept happening 100 charge totally waste time value tried many times got know small range one doesnt come proper range,1,boAt Rockerz 255,0,0.484,"['piece', 'lot', 'review', 'battery', 'product', 'battery', 'time', 'sound', 'range', 'manual', 'shirt', 'pocket', 'pant', 'pocket', 'charge', 'time', 'value', 'time', 'range', 'range']",battery call day hour life money music product quality use
Please don't buy this it's been only three months and it's one earphone is not working properly .,very bad 3 months one earphone working one year warranty useless service centre service help waste money,1,boAt Rockerz 255,3,0.809,"['month', 'earphone', 'year', 'warranty', 'service', 'centre', 'service', 'help', 'money']",device ear issue month phone product service time warranty year
Beast,this bluetooth earphone beast it amazing bass sound quality mind blowing this product value money suggeste buy looking amazing earphones rs 2500 these earphones good range provide usage time 7 hrs charge 45 60 mins,5,boAt Rockerz 255,0,0.407,"['earphone', 'beast', 'bass', 'sound', 'quality', 'mind', 'product', 'value', 'money', 'suggeste', 'earphone', 'earphone', 'range', 'usage', 'time', 'charge', 'min']",battery call day hour life money music product quality use
One earphone is not working properly,sound quality worst,1,boAt Rockerz 255,2,0.571,['quality'],base bass brand durability earphone jbl price quality range sound
